t,id,x,y,rho
0.04,8,0.36,-1.81289e-07,1000
0.04,9,0,0.0399998,1000
0.04,10,0.04,0.0399998,1000
0.04,11,0.08,0.0399998,1000
0.04,12,0.12,0.0399998,1000
0.04,13,0.16,0.0399998,1000
0.04,14,0.2,0.0399998,1000
0.04,15,0.24,0.0399998,1000
0.04,16,0.28,0.0399998,1000
0.04,17,0.32,0.0399998,1000
0.04,18,0.36,0.0399998,1000
0.04,19,0,0.0799998,1000
0.04,20,0.04,0.0799998,1000
0.04,21,0.08,0.0799998,1000
0.04,22,0.12,0.0799998,1000
0.04,23,0.16,0.0799998,1000
0.04,24,0.2,0.0799998,1000
0.04,25,0.24,0.0799998,1000
0.04,26,0.28,0.0799998,1000
0.04,27,0.32,0.0799998,1000
0.04,28,0.36,0.0799998,1000
0.04,29,0,0.12,1000
0.04,30,0.04,0.12,1000
0.04,31,0.08,0.12,1000
0.04,32,0.12,0.12,1000
0.04,33,0.16,0.12,1000
0.04,34,0.2,0.12,1000
0.04,35,0.24,0.12,1000
0.04,36,0.28,0.12,1000
0.04,37,0.32,0.12,1000
0.04,38,0.36,0.12,1000
0.04,39,0,0.16,1000
0.04,40,0.04,0.16,1000
0.04,41,0.08,0.16,1000
0.04,42,0.12,0.16,1000
0.04,43,0.16,0.16,1000
0.04,44,0.2,0.16,1000
0.04,45,0.24,0.16,1000
0.04,46,0.28,0.16,1000
0.04,47,0.32,0.16,1000
0.04,48,0.36,0.16,1000
0.04,49,0,0.2,1000
0.04,50,0.04,0.2,1000
0.04,51,0.08,0.2,1000
0.04,52,0.12,0.2,1000
0.04,53,0.16,0.2,1000
0.04,54,0.2,0.2,1000
0.04,55,0.24,0.2,1000
0.04,56,0.28,0.2,1000
0.04,57,0.32,0.2,1000
0.04,58,0.36,0.2,1000
0.04,59,0,0.24,1000
0.04,60,0.04,0.24,1000
0.04,61,0.08,0.24,1000
0.04,62,0.12,0.24,1000
0.04,63,0.16,0.24,1000
0.04,64,0.2,0.24,1000
0.04,65,0.24,0.24,1000
0.04,66,0.28,0.24,1000
0.04,67,0.32,0.24,1000
0.04,68,0.36,0.24,1000
0.04,69,0,0.28,1000
0.04,70,0.04,0.28,1000
0.04,71,0.08,0.28,1000
0.04,72,0.12,0.28,1000
0.04,73,0.16,0.28,1000
0.04,74,0.2,0.28,1000
0.04,75,0.24,0.28,1000
0.04,76,0.28,0.28,1000
0.04,77,0.32,0.28,1000
0.04,78,0.36,0.28,1000
0.04,79,0,0.32,1000
0.04,80,0.04,0.32,1000
0.04,81,0.08,0.32,1000
0.04,82,0.12,0.32,1000
0.04,83,0.16,0.32,1000
0.04,84,0.2,0.32,1000
0.04,85,0.24,0.32,1000
0.04,86,0.28,0.32,1000
0.04,87,0.32,0.32,1000
0.04,88,0.36,0.32,1000
0.04,89,0,0.36,1000
0.04,90,0.04,0.36,1000
0.04,91,0.08,0.36,1000
0.04,92,0.12,0.36,1000
0.04,93,0.16,0.36,1000
