velocity_mps,angle_deg,range_m,max_height_m,time_of_flight_s,impact_velocity_mps,impact_angle_deg,v0x_mps,v0y_mps
3,63,1.6558018076354237,4.364170929424879,1.2157389553198088,9.35307436087194,81.62695992820258,1.3619714992186405,2.6730195725651034
3,64,1.6028749356504097,4.370564558560931,1.2188111583764385,9.353074360871938,81.91699241410049,1.3151134403672324,2.6963821388975013
3,65,1.549040337389906,4.376786149010674,1.2217805662330254,9.353074360871938,82.20929341558359,1.2678547852220983,2.7189233611099497
3,66,1.4943248456004286,4.382828120724509,1.224645702192072,9.353074360871938,82.5037767527023,1.2202099292274007,2.7406363729278027
3,67,1.4387561861390854,4.388683112490596,1.2274051397797976,9.353074360871938,82.80035607434587,1.1721933854678213,2.761514560357321
3,68,1.382362953469173,4.39434399090336,1.2300575036723804,9.353074360871936,83.09894487399404,1.1238197802477359,2.7815515637003623
3,69,1.3251745848590863,4.399803859054448,1.2326014705839596,9.35307436087194,83.39945650441959,1.075103848635901,2.8007412794916053
3,70,1.2672213333225488,4.405056064935546,1.235035770116334,9.353074360871936,83.70180419137631,1.0260604299770064,2.819077862357725
3,71,1.208534239340246,4.410094209542827,1.2373591855703479,9.353074360871938,84.00590104630741,0.9767044633714703,2.8365557267979504
3,72,1.149145101404802,4.414912154673154,1.2395705547189426,9.353074360871934,84.31166007811173,0.9270509831248424,2.8531695488854605
3,73,1.089086445432962,4.419504030402532,1.2416687705419025,9.353074360871938,84.6189942040056,0.8771151141682103,2.868914267889106
3,74,1.0283914930905649,4.423864242237713,1.2436527819223135,9.353074360871938,84.92781625952004,0.8269120674509975,2.8837850878149567
3,75,0.9670941290776068,4.42798747793221,1.2455215943047924,9.353074360871938,85.23803900767368,0.7764571353075622,2.897777478867205
3,76,0.9052288674222745,4.431868713958469,1.247274270315528,9.353074360871938,85.54957514736284,0.725765686799003,2.9108871788279895
3,77,0.8428308168343599,4.43550322162825,1.2489099303442115,9.353074360871938,85.86233732101113,0.6748531630315948,2.9231101943557056
3,78,0.7799356451698842,4.438886572853808,1.2504277530879204,9.353074360871938,86.17623812152172,0.6237350724532784,2.9344428022014166
3,79,0.7165795430601034,4.442014645542842,1.2518269760570357,9.353074360871938,86.49119009857611,0.5724269861296347,2.944881550342992
3,80,0.6527991867593321,4.444883628620621,1.2531068960432696,9.353074360871938,86.80710576432364,0.5209445330007912,2.954423259036624
3,81,0.5886317002671643,4.4474900266732,1.2542668695498855,9.35307436087194,87.12389759850714,0.46930339512069275,2.9630650217854133
3,82,0.5241146167817732,4.449830664206036,1.2553063131841917,9.35307436087194,87.44147805306983,0.4175193028801964,2.9708042062247113
3,83,0.45928583954194446,4.451902689512844,1.2562247040123826,9.353074360871938,87.75975955628965,0.36560803021544247,2.977638454923966
3,84,0.39418360211640185,4.453703578149955,1.2570215798768078,9.353074360871936,88.07865451648718,0.31358538980296036,2.9835656861048196
3,85,0.32884642819979415,4.4552311360119745,1.2576965396757336,9.353074360871934,88.39807532535379,0.2614672282429744,2.988584094275237
3,86,0.2633130909754318,4.456483502004947,1.2582492436056643,9.353074360871938,88.71793436094707,0.20926942123237569,2.9926921507794724
3,87,0.19762257210549636,4.457459150313824,1.258679413366282,9.353074360871936,89.03814399040036,0.1570078687288319,2.9958886042637216
3,88,0.13181402040997542,4.458156892261428,1.2589868323280522,9.353074360871936,89.35861657239418,0.10469849010750323,2.998172481057287
3,89,0.06592671029605189,4.458575877756673,1.2591713456625402,9.353074360871938,89.67926445943651,0.05235721931185079,2.999543085469174
3,90,2.313173237870192e-16,4.458715596330275,1.2592328604354677,9.353074360871938,90.0,1.8369701987210297e-16,3.0
4,0,3.612189127885847,4.0,0.9030472819714618,9.720082304178293,65.6996988365287,4.0,0.0
4,1,3.640211452373286,4.000248388575293,0.910191489665809,9.720082304178295,65.70363896243101,3.999390780625565,0.06980962574913405
4,2,3.6673228687082036,4.000993251677951,0.9173895661136908,9.720082304178293,65.71545740628909,3.997563308076383,0.13959798681000388
4,3,3.6934881613573536,4.002233681807024,0.9246392262634903,9.720082304178293,65.73514836983813,3.9945181390182953,0.20934382497177534
4,4,3.718671814190008,4.0039681676894725,0.9319381079393969,9.720082304178295,65.76270220022838,3.990256201039297,0.2790258949765012
